Sample,Area,Thickness h (ft),Porosity,Oil Saturation So,Oil FVF Bo (rb/STB),N (MMSTB),Grouped Feature
1,1051.9,10.8,0.141,0.539,1.418,4.724,608.88
2,1108.6,107.9,0.099,0.619,1.065,53.398,6882.92
3,412.3,64.6,0.086,0.53,1.375,6.85,882.91
4,908.3,32.7,0.21,0.774,1.053,35.568,4584.68
5,1304.8,86.2,0.155,0.512,1.529,45.289,5837.75
6,591.6,18.4,0.101,0.789,1.352,4.978,641.6
7,1306.8,89.7,0.198,0.839,1.239,121.929,15716.56
8,919.1,100.9,0.216,0.795,1.339,92.266,11893.08
9,1150.9,13.1,0.13,0.566,1.09,7.896,1017.75
10,433.8,19.3,0.141,0.704,1.232,5.233,674.57
11,642.7,31.5,0.139,0.825,1.374,13.108,1689.67
12,1005.9,27.2,0.24,0.515,1.24,21.158,2727.22
13,1584.1,79.7,0.203,0.724,1.471,97.862,12614.29
14,1259.5,33.7,0.087,0.576,1.184,13.937,1796.46
15,400.7,113.6,0.273,0.576,1.378,40.298,5194.38
16,681.4,110.4,0.181,0.556,1.173,50.07,6453.96
17,933.3,37.4,0.209,0.809,1.25,36.629,4721.47
18,413.4,119.7,0.192,0.486,1.074,33.354,4299.3
19,246.7,78.3,0.254,0.619,1.082,21.776,2806.91
20,660.1,119.6,0.196,0.838,1.48,67.972,8761.52
21,97.5,88.7,0.23,0.665,1.183,8.674,1118.13
22,1054.3,20.5,0.176,0.631,1.527,12.195,1571.89
23,1411.3,37.5,0.19,0.521,1.506,26.988,3478.7
24,1403.2,41.4,0.221,0.694,1.126,61.388,7912.86
25,1239,68.4,0.251,0.662,1.05,104.045,13411.27
26,572.7,10.2,0.284,0.801,1.466,7.032,906.45
27,547.4,14.5,0.273,0.829,1.093,12.75,1643.5
28,818.7,15.8,0.247,0.756,1.114,16.822,2168.28
29,802.4,69.6,0.138,0.799,1.262,37.854,4879.4
30,401.9,68.4,0.241,0.53,1.206,22.588,2911.52
31,1592.6,80.8,0.176,0.657,1.111,103.904,13393.13
32,421.5,45.9,0.209,0.542,1.16,14.657,1889.29
33,187.9,78.7,0.13,0.812,1.48,8.183,1054.72
34,187.7,34.7,0.227,0.536,1.116,5.509,710.1
35,1502,72,0.184,0.764,1.454,81.115,10455.61
36,369.4,18.9,0.175,0.619,1.284,4.57,589.01
37,1188.2,83.4,0.297,0.489,1.251,89.251,11504.39
38,595.7,104.5,0.135,0.526,1.274,26.918,3469.72
39,721.3,39.2,0.135,0.819,1.272,19.067,2457.72
40,1389.3,69.6,0.091,0.85,1.468,39.527,5094.95
41,1552.9,111.8,0.267,0.517,1.293,143.793,18534.83
42,404.9,52.9,0.093,0.602,1.543,6.029,777.17
43,483.1,95.8,0.18,0.619,1.529,26.164,3372.55
44,1593,70.2,0.238,0.512,1.198,88.246,11374.78
45,1552.4,72.9,0.199,0.749,1.079,121.281,15633.08
46,967.9,64.3,0.268,0.513,1.53,43.386,5592.45
47,201.8,28.8,0.211,0.72,1.168,5.865,755.94
48,262.2,107.7,0.134,0.688,1.36,14.851,1914.27
49,717.2,73.4,0.195,0.824,1.152,56.963,7342.53
50,1168.6,34.7,0.167,0.719,1.2,31.478,4057.51
